Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Alavés,es La Liga,28,26.4,42.3,28,308,2520,28.0,23,19,42,20,3,5,56,1,33.9,29.9,22.6,52.6,438,958,0.82,0.68,1.5,0.71,1.39,1.21,0.81,486.0357142857143,17942
Almería,es La Liga,33,26.1,46.4,27,297,2430,27.0,25,16,41,24,1,1,67,4,33.6,32.8,24.6,57.3,418,790,0.93,0.59,1.52,0.89,1.48,1.24,0.91,541.4074074074074,16334
Arsenal,eng Premier League,25,25.5,61.5,28,308,2520,28.0,67,47,114,59,8,8,43,2,56.6,50.5,39.4,89.9,628,1638,2.39,1.68,4.07,2.11,3.79,2.02,1.41,727.0,13963
Aston Villa,eng Premier League,28,27.6,54.7,28,308,2520,28.0,56,41,97,52,4,4,73,2,51.2,48.1,37.7,85.8,600,1141,2.0,1.46,3.46,1.86,3.32,1.83,1.35,620.0714285714286,15213
Atalanta,it Serie A,28,27.0,50.1,28,308,2520,28.0,51,40,91,48,3,3,62,1,41.0,38.6,30.1,68.7,529,1266,1.82,1.43,3.25,1.71,3.14,1.46,1.07,632.75,17652
Athletic Club,es La Liga,25,28.0,49.1,28,308,2520,28.0,46,32,78,43,3,5,63,3,42.5,38.5,29.2,67.7,529,1121,1.64,1.14,2.79,1.54,2.68,1.52,1.04,585.3214285714286,17399
Atlético Madrid,es La Liga,26,29.8,51.6,28,308,2520,28.0,53,38,91,49,4,5,63,3,49.2,45.4,37.4,82.8,575,1215,1.89,1.36,3.25,1.75,3.11,1.76,1.33,668.1071428571429,17761
Augsburg,de Bundesliga,26,26.7,44.1,25,275,2250,25.0,39,26,65,34,5,7,56,3,35.0,29.6,19.4,49.0,346,783,1.56,1.04,2.6,1.36,2.4,1.4,0.78,535.96,16394
Barcelona,es La Liga,28,26.6,64.5,28,308,2520,28.0,54,39,93,50,4,5,64,2,61.0,57.1,45.8,103.0,756,1402,1.93,1.39,3.32,1.79,3.18,2.18,1.64,754.0,12895
Bayern Munich,de Bundesliga,27,28.1,61.4,25,275,2250,25.0,72,57,129,69,3,3,44,2,67.7,65.4,53.3,118.7,722,1421,2.88,2.28,5.16,2.76,5.04,2.71,2.13,785.48,13584
